intersection_id_osm,latitude,longitude,nb_passages_pietons
370318269,48.8434033,2.1815651,0
370318306,48.8416544,2.1824415,2
370318331,48.8416893,2.1720289,5
370318370,48.8413851,2.1781028,2
370318380,48.8421251,2.1781405,3
370322801,48.8430531,2.1744065,0
370322812,48.8415834,2.1742412,4
370322813,48.8398487,2.1740405,1
370322861,48.8408634,2.1785505,0
370322864,48.8399,2.1736124,0
370323112,48.8436156,2.1781865,0
370323263,48.839189,2.1795605,0
370323279,48.8390887,2.1781411,0
370323308,48.8394861,2.1779236,0
370323313,48.8403997,2.17629,0
373461548,48.8483201,2.1904083,4
373784769,48.8469392,2.1893415,1
374165081,48.847213,2.1862261,1
374167417,48.8443572,2.1882448,0
374167427,48.8431502,2.1865843,1
374217067,48.8447519,2.1872039,0
375991460,48.8411175,2.1965495,1
375991467,48.8429783,2.1954691,1
375993048,48.8469776,2.1962535,2
375995444,48.8436567,2.1922996,1
375995468,48.8439735,2.1931921,0
376013534,48.8436328,2.1867168,0
410636646,48.8485259,2.1828363,1
411072427,48.8432824,2.174514,2
411072429,48.8431896,2.1744249,0
411072436,48.8432408,2.1743382,2
441767908,48.8444627,2.1986822,0
459811632,48.8470092,2.181674,1
459811637,48.8470748,2.1816078,1
459811639,48.8471392,2.1817201,0
459811660,48.8423482,2.183459,0
497498101,48.8392637,2.1886343,1
497498104,48.8398357,2.1911122,1
497498106,48.8400037,2.1918888,1
571581192,48.8388891,2.1875697,0
571581338,48.8389458,2.1875784,0
622548875,48.8429081,2.1841376,2
622565462,48.8435067,2.1853789,0
622566153,48.8399786,2.1857396,4
665877722,48.843799,2.178193,0
666459830,48.8446124,2.1868199,0
666480631,48.8409324,2.1717232,3
666480632,48.8408917,2.1724716,0
666480633,48.839418,2.1718879,0
666480634,48.8394273,2.1717696,0
666480635,48.8390555,2.1777489,0
666480636,48.839433,2.1779269,0
666480637,48.8392275,2.1717876,0
878171243,48.8446442,2.1874636,0
923034571,48.8382936,2.1785882,2
923034694,48.8458722,2.1852234,0
923035204,48.8471146,2.1817894,2
923035410,48.843532,2.1928602,3
923035922,48.8382092,2.1810816,0
1188347050,48.8405214,2.1935892,1
1868884403,48.8463084,2.1939392,0
1868884405,48.8463651,2.1945511,0
1868884699,48.8468883,2.1937372,1
1932413807,48.8475413,2.1820459,0
2169099690,48.8461721,2.1924826,1
2266470990,48.8520391,2.1969615,2
2277726037,48.8515164,2.1912499,0
2277726038,48.8515723,2.1909292,0
2382759589,48.8392249,2.1886633,0
2408678012,48.8384616,2.1713944,1
2413509122,48.84659,2.1886953,0
2502685439,48.8546009,2.1977253,3
2515343419,48.8382568,2.1820847,1
2697870081,48.8469624,2.1961788,0
2697870116,48.8466002,2.1978207,1
3296686771,48.8412345,2.1916603,0
4762797724,48.8382849,2.1703809,4
5310625215,48.8414661,2.1920248,0
