intersection_id_osm,latitude,longitude,nb_passages_pietons
209099245,48.8182536,2.1211252,2
209099393,48.8181021,2.121106,2
209100547,48.8182213,2.1207858,1
209100549,48.8181967,2.1207654,1
215108723,48.8067089,2.1501528,2
215108886,48.8076902,2.1449275,0
215112126,48.8059173,2.1417337,2
215124221,48.8206781,2.1512437,0
224752833,48.7866521,2.1054006,0
224752835,48.7858808,2.1053849,0
224753021,48.7858902,2.105492,0
240514622,48.8092211,2.1480207,0
242696718,48.7901088,2.1067759,0
242697517,48.7900452,2.1068228,0
242698294,48.7911806,2.1096903,0
242698574,48.7913493,2.1088717,0
243455215,48.797471,2.1310334,0
243455222,48.8003203,2.1324313,1
243455374,48.7966045,2.1311827,3
243457621,48.8011717,2.0797148,0
243460664,48.8012475,2.0796963,0
243460670,48.8007299,2.0744371,0
243631822,48.8168417,2.1248441,0
243631824,48.8166613,2.1248309,0
244130015,48.7953099,2.1272579,4
244130016,48.7928587,2.1285752,0
244130017,48.8089193,2.1334297,0
244131754,48.7987869,2.1588449,1
244131755,48.7983455,2.1537185,0
244131756,48.7983358,2.1534582,0
244131757,48.7984227,2.1537092,0
244134732,48.7907555,2.1072343,0
244134733,48.7910278,2.1075497,0
244134809,48.7910369,2.107456,0
252186570,48.8078775,2.1272416,2
252186767,48.8057614,2.1278968,1
253143117,48.7971524,2.1315762,2
255390128,48.7858532,2.1089828,0
255390134,48.7834503,2.1170332,3
256366642,48.7871978,2.1507948,0
258038181,48.8149418,2.1289534,1
258313728,48.7874266,2.1503033,2
266913737,48.804131,2.1437771,0
270242658,48.8056889,2.1314796,0
270242680,48.8062645,2.1333022,0
270417116,48.7823992,2.1197833,2
270417117,48.7822202,2.1195966,2
270417119,48.7810221,2.1183088,0
270418233,48.7821254,2.1197775,1
270418234,48.7810005,2.1184944,0
270418238,48.7809117,2.1163385,0
281932131,48.8049324,2.1445592,2
281934642,48.8047792,2.1426793,2
281934864,48.8052822,2.142762,2
290890746,48.7940331,2.1558006,2
292401309,48.8149105,2.1301499,1
292401310,48.8147714,2.1310171,1
294164347,48.7990143,2.1240187,1
294164348,48.8001109,2.1199584,0
294164350,48.8007789,2.1203832,1
297701384,48.7873297,2.15027,1
303355636,48.7922286,2.1469926,2
311387152,48.7912726,2.1090033,0
311387789,48.7912635,2.1079198,0
314072861,48.7927583,2.1285127,0
314077035,48.8017861,2.0872156,0
314077047,48.8017532,2.0868686,0
314077084,48.8018134,2.0874735,0
314077085,48.8018934,2.0875014,3
314944119,48.8018912,2.1251857,1
315057304,48.8056869,2.1292164,0
315521875,48.8094897,2.1253847,2
338792340,48.8113378,2.1543732,1
338792352,48.8120399,2.1549432,0
338792368,48.8112804,2.1543868,0
338792372,48.8110887,2.154971,0
338792377,48.811672,2.1555421,0
338792381,48.8112471,2.1547406,0
338795853,48.8107172,2.1549158,3
338795930,48.8103273,2.1572496,0
338913251,48.810056,2.1555402,0
338918063,48.8091094,2.1556225,0
338918068,48.8087097,2.1550044,2
338918089,48.8099918,2.1578241,1
338918093,48.8094029,2.1549361,0
338961226,48.8087281,2.1539782,0
338965098,48.8112592,2.1535672,0
338965109,48.8112119,2.1537549,0
338965536,48.8087072,2.1544123,0
338999086,48.8079583,2.1591334,0
338999115,48.8080975,2.1595355,1
338999123,48.807911,2.1595324,1
338999125,48.8078817,2.1595735,1
338999156,48.8081507,2.1594516,1
338999163,48.8079753,2.1593248,0
338999169,48.8079064,2.159421,0
339001018,48.8066831,2.158277,2
339001027,48.8066288,2.1584114,1
345733083,48.7841583,2.1032883,2
345771068,48.7865352,2.1052599,1
345771085,48.7859705,2.105222,1
345771437,48.7858119,2.0920929,0
345771442,48.785894,2.0920093,0
345771446,48.7858639,2.0922134,0
353022403,48.7841177,2.1149581,0
353022413,48.7830464,2.1180162,0
353022426,48.7831583,2.1181372,0
353022428,48.7835508,2.1170583,3
353022434,48.7842103,2.1150099,0
353022445,48.7846883,2.1121357,1
353022447,48.7847734,2.111924,0
353022453,48.7859548,2.1089886,0
353095988,48.7842271,2.1141344,0
353095997,48.7843267,2.1141569,0
353096041,48.7870876,2.1156887,0
353192746,48.799612,2.1320327,0
353192748,48.7993775,2.1319337,0
353192751,48.799207,2.1330648,1
353192752,48.7991016,2.1337368,0
354997935,48.7984909,2.1569708,0
354998597,48.8019617,2.1502665,1
360015935,48.7854457,2.1239367,0
360154479,48.7846134,2.1120762,1
360154480,48.7848902,2.1121274,1
360154482,48.7846915,2.111872,0
360154492,48.7869107,2.1179153,1
360154493,48.7887068,2.1183633,3
360340819,48.7867019,2.11786,0
360340820,48.7859607,2.1167084,0
360340839,48.7867356,2.1175542,0
360348083,48.7888967,2.116029,0
360348088,48.78748,2.1157628,0
360348096,48.7875782,2.1145789,0
360348099,48.7871906,2.1145043,0
360352295,48.7810194,2.1126761,0
360364599,48.7823054,2.1199888,2
360599770,48.7961661,2.1372258,0
360599775,48.7954054,2.1387416,1
360599779,48.7954565,2.1393686,1
360691504,48.7966108,2.1417212,0
369682267,48.8046216,2.1498738,2
409474311,48.7899952,2.1480576,0
416309064,48.8213813,2.1513801,0
451136568,48.8004654,2.12852,1
466187915,48.8010346,2.1342175,1
466187924,48.8011399,2.134284,1
466187925,48.8007462,2.1320953,1
466187928,48.7999781,2.1316388,0
466187930,48.799888,2.132149,0
672476301,48.7997022,2.1409088,0
672476308,48.8000629,2.1415899,2
672476319,48.7987231,2.1433178,0
672476321,48.7995131,2.1436708,0
672476367,48.7984021,2.1524545,0
672476452,48.7988385,2.1569508,1
672476453,48.7986561,2.158973,0
700102418,48.7910052,2.124142,0
728623135,48.7980277,2.1542874,1
728623320,48.7983567,2.1539818,0
736742631,48.8053541,2.1424061,0
736742869,48.8046774,2.1484183,2
736742952,48.8061072,2.1425692,0
736743153,48.8063886,2.1491911,3
793642503,48.808006,2.145037,1
793643225,48.8081386,2.143369,0
793644724,48.8089803,2.1481931,1
793644743,48.8090743,2.1481822,1
793644746,48.8090812,2.1481635,1
793646005,48.8094105,2.1479508,0
793646578,48.8102298,2.1494041,2
793649105,48.8079091,2.1454513,0
793649670,48.8079692,2.1455532,1
793652412,48.8077818,2.144989,2
793652970,48.8080352,2.1458084,0
884425887,48.8060317,2.1500575,4
884425890,48.8064768,2.1489891,2
895728859,48.814586,2.1430412,3
895733871,48.8156607,2.1412196,2
895733880,48.8160607,2.1412927,1
895737554,48.8160286,2.1364092,2
895739403,48.8145517,2.1323878,1
895741713,48.8136513,2.1360592,0
895742350,48.8155288,2.145683,2
895786001,48.7927438,2.1506847,0
907016170,48.8018582,2.1294151,0
907016255,48.8025874,2.1299123,1
907016320,48.8016778,2.1322785,0
907016370,48.8017576,2.133244,2
907016400,48.802345,2.1298267,0
907016569,48.8022131,2.1297433,0
907016598,48.8015893,2.1338654,2
977214413,48.8030465,2.1263267,1
1035781289,48.7861112,2.1537657,0
1039813158,48.7894264,2.1175823,0
1044936346,48.7952637,2.1397608,0
1045552183,48.7968515,2.1363102,0
1045552190,48.7985408,2.1439899,1
1183495590,48.7913838,2.1465425,0
1183495733,48.791,2.1470646,0
1183499450,48.7938164,2.1423608,0
1183542302,48.7928189,2.1283876,1
1183542327,48.7927889,2.1286209,0
