intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5
176735394,48.8237371,2.2972682,2,48.8237899,2.2971871,48.8236917,2.2971825,,,,,,
176738029,48.8252513,2.296618,3,48.8252233,2.2966516,48.8252084,2.2965095,48.82528,2.2966295,,,,
176738031,48.8255575,2.2967407,0,,,,,,,,,,
176738033,48.8257595,2.2968483,0,,,,,,,,,,
176742668,48.8219741,2.2858594,0,,,,,,,,,,
176748556,48.8231051,2.2925023,1,48.8231034,2.2926849,,,,,,,,
176749910,48.8224581,2.2930502,1,48.8225076,2.2931155,,,,,,,,
176755414,48.8234998,2.2967884,3,48.8235739,2.2969476,48.8234572,2.2966869,48.823549,2.2967126,,,,
176756824,48.8241117,2.298056,3,48.8240246,2.2980203,48.8240691,2.2979647,48.8241642,2.297992,,,,
176763628,48.8195978,2.2933029,1,48.8195462,2.2934624,,,,,,,,
176764787,48.8187,2.2916639,4,48.8186295,2.2915291,48.8187511,2.2915931,48.8187424,2.2917448,48.8186458,2.2917445,,
176764791,48.8181138,2.290564,2,48.8180645,2.2906502,48.8181768,2.290681,,,,,,
176765112,48.8190033,2.2912766,2,48.8190614,2.2912144,48.8189682,2.2912008,,,,,,
176784883,48.8237268,2.2879143,1,48.8237606,2.2879813,,,,,,,,
176785475,48.824702,2.2898018,4,48.8247427,2.2897537,48.8246551,2.2898575,48.8246763,2.2897524,48.8247294,2.2898551,,
176785476,48.8256179,2.2915754,2,48.8255664,2.2914792,48.825646,2.291449,,,,,,
176786045,48.8251168,2.2893108,4,48.8250826,2.2892441,48.8250827,2.2893536,48.8251484,2.2893724,48.825158,2.2892618,,
176786046,48.825818,2.2906762,3,48.8257524,2.2905486,48.8258501,2.2905285,48.8258763,2.2907099,,,,
176786328,48.8248175,2.2872624,1,48.8248348,2.2873265,,,,,,,,
176787281,48.8253094,2.2890825,1,48.8252969,2.2890361,,,,,,,,
176791020,48.8234016,2.2881187,1,48.8235103,2.288051,,,,,,,,
176791709,48.8270882,2.2831009,2,48.8271206,2.283211,48.8270463,2.2832386,,,,,,
176792953,48.8249087,2.2915123,1,48.8248729,2.2915559,,,,,,,,
176793392,48.824296,2.2928621,1,48.8242671,2.2927792,,,,,,,,
176800941,48.8214541,2.2897295,0,,,,,,,,,,
176802132,48.8213211,2.2912415,2,48.8213796,2.2911807,48.8214095,2.2913052,,,,,,
176803568,48.8219018,2.290551,1,48.821882,2.2905146,,,,,,,,
176811518,48.8195488,2.2886237,2,48.8195757,2.2887019,48.8195086,2.2886675,,,,,,
176811519,48.818824,2.2868078,2,48.8187668,2.2868605,48.8187891,2.2867147,,,,,,
176811520,48.8183416,2.2853972,2,48.8182814,2.2854651,48.8183761,2.2855342,,,,,,
176811524,48.8182046,2.2846268,5,48.8180862,2.284708,48.8182007,2.28479,48.8183202,2.2847392,48.8183483,2.2845872,48.8181475,2.2844941
176812884,48.8183968,2.2872017,1,48.8184183,2.2872564,,,,,,,,
176813206,48.8191332,2.2890773,1,48.8191137,2.2890276,,,,,,,,
176813600,48.8187648,2.2895301,2,48.8187364,2.2894709,48.8188059,2.2894703,,,,,,
176814609,48.8179372,2.2877357,4,48.8178931,2.2877893,48.8179084,2.2876722,48.8179804,2.2876802,48.8179641,2.2877939,,
176814611,48.8169693,2.2856005,4,48.8170189,2.2855613,48.8169459,2.2855466,48.8169972,2.2856627,48.816934,2.2856279,,
176814612,48.8165603,2.2846549,1,48.8165882,2.2847196,,,,,,,,
176816577,48.8175433,2.283807,1,48.8174816,2.2838602,,,,,,,,
176817683,48.8176021,2.2861493,0,,,,,,,,,,
176817684,48.8173279,2.2864017,1,48.8173793,2.2863544,,,,,,,,
176820196,48.8153293,2.2825578,1,48.815378,2.2825133,,,,,,,,
176822339,48.8151175,2.2807673,0,,,,,,,,,,
176822341,48.815056,2.2801505,0,,,,,,,,,,
176825007,48.8150431,2.2812568,0,,,,,,,,,,
178755368,48.8174537,2.2770963,2,48.8174039,2.2772537,48.8173485,2.2771488,,,,,,
178755369,48.8163975,2.277657,2,48.8164055,2.2777417,48.8164451,2.2776316,,,,,,
178755519,48.8165207,2.2789585,5,48.8164743,2.2790444,48.8164369,2.2788578,48.8165053,2.2787958,48.8165633,2.2788769,48.8165569,2.2790017
178761791,48.8202861,2.2858694,4,48.8203026,2.285697,48.8201189,2.2859768,48.8202705,2.2860109,48.8203724,2.2858819,,
178761793,48.8208049,2.2859778,3,48.820648,2.285945,48.8207611,2.2859686,48.8208107,2.2859066,,,,
178761794,48.8219221,2.2852817,2,48.8218492,2.2853337,48.8218913,2.2851343,,,,,,
178761839,48.8194749,2.2883965,2,48.8195608,2.2883062,48.8194356,2.2883007,,,,,,
178762166,48.8200509,2.2874388,2,48.820065,2.2873469,48.8201024,2.2874516,,,,,,
178762171,48.8206168,2.284856,3,48.8205807,2.2849567,48.8206326,2.2847752,48.8205494,2.2847519,,,,
178762173,48.8208087,2.2837007,1,48.8208032,2.2839247,,,,,,,,
178762426,48.8206431,2.2876192,2,48.8206868,2.2876344,48.8206565,2.2875492,,,,,,
178762428,48.8212476,2.2880192,1,48.8212025,2.2879787,,,,,,,,
178762726,48.821203,2.2857379,2,48.821225,2.2857247,48.8211896,2.2858574,,,,,,
