intersection,latitude,longitude,nb_passages_pietons,latitude_pp1,longitude_pp1,latitude_pp2,longitude_pp2,latitude_pp3,longitude_pp3,latitude_pp4,longitude_pp4,latitude_pp5,longitude_pp5,latitude_pp6,longitude_pp6
317131475,48.7701012,2.3333618,3,48.7701256,2.3332423,48.7702091,2.333425,48.7700197,2.3333141,,,,,,
317131562,48.7710375,2.3288514,4,48.7709613,2.3288656,48.7710995,2.3287066,48.7710915,2.3288666,48.7709789,2.3290269,,,,
317131770,48.7730898,2.3322624,0,,,,,,,,,,,,
317131773,48.771374,2.3310129,0,,,,,,,,,,,,
317131976,48.7736496,2.3308228,0,,,,,,,,,,,,
317132170,48.7724405,2.3317758,0,,,,,,,,,,,,
317132474,48.7704552,2.3254575,4,48.7705229,2.3255013,48.7704911,2.3253638,48.7703938,2.3254177,48.7704263,2.3255418,,,,
317132479,48.7730809,2.3275582,1,48.7730929,2.3275256,,,,,,,,,,
317132516 / 317132517,48.7738285,2.3263627,1,48.7737571,2.3263576,,,,,,,,,,
317132523,48.7753697,2.3282929,1,48.775307,2.3283138,,,,,,,,,,
317132581,48.7696259,2.3291629,4,48.7696268,2.3290962,48.7696244,2.3292676,48.7695606,2.3291303,48.7696985,2.3291986,,,,
317132769,48.7702226,2.3263689,4,48.7702389,2.3262967,48.7702716,2.3263984,48.7702052,2.3264434,48.77017,2.326341,,,,
317132774,48.7712086,2.3283844,2,48.7712526,2.3282656,48.7711585,2.3282395,,,,,,,,
317132987,48.7713569,2.3231048,2,48.7713028,2.3230738,48.7713278,2.3232093,,,,,,,,
317132992,48.7693273,2.330968,0,,,,,,,,,,,,
317133105,48.7664486,2.3279212,2,48.7664857,2.3279338,48.7664543,2.3278691,,,,,,,,
317133106,48.7676218,2.328304,1,48.7675692,2.3282876,,,,,,,,,,
317773434,48.7827544,2.3360099,1,48.7828313,2.3361026,,,,,,,,,,
317773436,48.7831136,2.3363369,0,,,,,,,,,,,,
317782171 / 5252220131,48.780002,2.3368541,2,48.7800487,2.336877,48.7800131,2.3367869,,,,,,,,
317782174,48.7804716,2.3370771,2,48.7804798,2.3370185,48.7805327,2.3371712,,,,,,,,
317782180,48.7827512,2.3378402,0,,,,,,,,,,,,
317782194,48.7800894,2.3351921,3,48.7799707,2.3351725,48.7801662,2.335205,48.7800743,2.3353451,,,,,,
330298782,48.7774434,2.3511132,4,48.7774806,2.3510443,48.7773774,2.3510383,48.7774815,2.3511544,48.7773904,2.3511849,,,,
330298984,48.778,2.3526531,0,,,,,,,,,,,,
330298985 / 330299533 / 339430393,48.7786185,2.3548179,2,48.7786999,2.3548254,48.7785924,2.3547204,,,,,,,,
330299021,48.7763765,2.3538806,1,48.7764067,2.3538193,,,,,,,,,,
330299029,48.7770276,2.3518676,2,48.7770859,2.3517462,48.7770551,2.351904,,,,,,,,
330299114,48.7773987,2.3530893,0,,,,,,,,,,,,
330299115 / 1690643173,48.7778875,2.3547756,4,48.7778038,2.354838,48.7778063,2.3548322,48.777961,2.3547782,48.7778626,2.3546897,,,,
330299181,48.7788318,2.3520449,2,48.7787972,2.3520702,48.778786,2.3519451,,,,,,,,
330299217 / 1715871226,48.7779657,2.3501294,3,48.7780131,2.3502438,48.7779702,2.3499311,48.7778605,2.3503277,,,,,,
330299417,48.7791281,2.3526902,1,48.7791013,2.3527221,,,,,,,,,,
330299493,48.7782938,2.3536847,0,,,,,,,,,,,,
330299496,48.7794721,2.3534457,1,48.7794426,2.3534819,,,,,,,,,,
330299542,48.7785262,2.3513794,1,48.7784887,2.3514067,,,,,,,,,,
330299560,48.7778053,2.3519045,0,,,,,,,,,,,,
330300000 / 1715871204,48.7782733,2.3508215,2,48.7783137,2.350773,48.7783291,2.3509396,,,,,,,,
330300143 / 1715871215,48.7788331,2.3502259,0,,,,,,,,,,,,
330300317,48.7804732,2.3484084,0,,,,,,,,,,,,
330300321,48.7805476,2.3493014,0,,,,,,,,,,,,
330300549 / 330301135,48.7799889,2.3498857,0,,,,,,,,,,,,
330300550 / 1690661106 / 1781381171,48.7792574,2.34967,0,,,,,,,,,,,,
330300552,48.7796005,2.3504846,0,,,,,,,,,,,,
330300890,48.7808102,2.3504379,0,,,,,,,,,,,,
330300892,48.7805488,2.3499476,0,,,,,,,,,,,,
330301285,48.7798202,2.3490853,0,,,,,,,,,,,,
330301288,48.7785034,2.3485368,2,48.7785074,2.348356,48.7785868,2.3485016,,,,,,,,
330301289,48.7780201,2.3485272,3,48.7780823,2.3485312,48.7780244,2.3483845,48.7780147,2.348652,,,,,,
339430396,48.778774,2.3569244,0,,,,,,,,,,,,
339430399 / 563965605,48.7760315,2.3578747,2,48.775986,2.3577655,48.7761408,2.3578368,,,,,,,,
348090189 / 6341794073 / 6790257038,48.7715586,2.3343481,1,48.7715786,2.3342828,,,,,,,,,,
364367090 / 2457925514,48.7796657,2.3671848,1,48.7798191,2.3672548,,,,,,,,,,
432004064 / 1297696820,48.7724087,2.32357,0,,,,,,,,,,,,
432004066 / 432004075 / 432004081 / 432004087 / 432004089,48.7734371,2.3239649,3,48.7734998,2.3240538,48.7734781,2.3241448,48.77346,2.3238549,,,,,,
465630601 / 1720251418 / 5351799613 / 7283148604,48.7905326,2.3436906,0,,,,,,,,,,,,
465631859,48.7891435,2.343206,0,,,,,,,,,,,,
470962105,48.7837847,2.3281624,1,48.7836388,2.3281135,,,,,,,,,,
560853429,48.7761302,2.3418679,2,48.7761804,2.341883,48.7761529,2.3417202,,,,,,,,
560853431,48.7762603,2.3410227,2,48.776251,2.3410825,48.7763138,2.3410385,,,,,,,,
560853437,48.7754943,2.3446124,2,48.7755548,2.3446428,48.7755204,2.3445197,,,,,,,,
560853439,48.7757489,2.3437302,1,48.7757982,2.3437577,,,,,,,,,,
560853440,48.7761883,2.3439719,0,,,,,,,,,,,,
560853447,48.7786969,2.3418083,2,48.7787743,2.3418508,48.7786239,2.341847,,,,,,,,
560853473,48.7748176,2.3481113,1,48.7748565,2.3479966,,,,,,,,,,
560853474,48.774427,2.3496854,2,48.7744673,2.3497307,48.7743966,2.3498122,,,,,,,,
560853476,48.774603,2.348955,2,48.7746386,2.3489942,48.7746301,2.3488313,,,,,,,,
560853491,48.7781129,2.3456994,2,48.7781085,2.3458254,48.7780942,2.3456976,,,,,,,,
560853496,48.7739359,2.3518393,4,48.7738333,2.3517517,48.7738543,2.3520155,48.7739959,2.3518923,48.7739724,2.3516759,,,,
560853498 / 5274330085,48.7754323,2.3530513,2,48.7754597,2.3530013,48.7753291,2.3529689,,,,,,,,
560853501,48.7764979,2.3510881,0,,,,,,,,,,,,
560853502,48.7761846,2.3516791,0,,,,,,,,,,,,
560853504,48.7837531,2.339164,0,,,,,,,,,,,,
560853507,48.7805231,2.3403825,2,48.7804946,2.3402092,48.7804641,2.3402347,,,,,,,,
560853513 / 5766318527,48.781277,2.3421469,1,48.78137,2.3420814,,,,,,,,,,
563964293,48.7792996,2.36381,0,,,,,,,,,,,,
563964294,48.7785714,2.3595679,2,48.778446,2.3594753,48.7786799,2.3596397,,,,,,,,
587384658,48.7694771,2.3216839,3,48.7694392,2.3216449,48.7694526,2.3217719,48.7695444,2.3217425,,,,,,
587384703 / 587386706 / 826649983,48.7687459,2.3243598,3,48.7686693,2.3243197,48.7685239,2.3243862,48.7687638,2.3242938,,,,,,
587387080,48.7691062,2.3271022,0,,,,,,,,,,,,
587387083,48.7687693,2.328721,2,48.7687164,2.3286976,48.7687836,2.3286523,,,,,,,,
587393143 / 1690150701 / 4889915212 / 5158772104,48.7671961,2.3191118,4,48.7671058,2.3190658,48.7672185,2.3190189,48.7671497,2.3192508,48.7672453,2.3191474,,,,
587393775 / 587397678,48.7662066,2.323152,1,48.7662066,2.323152,,,,,,,,,,
587404341 / 798421862 / 798427106,48.7674507,2.3313348,1,48.7676357,2.3313404,,,,,,,,,,
587404690,48.7665351,2.3305632,0,,,,,,,,,,,,
745236131 / 2562470319,48.7718594,2.3450942,0,,,,,,,,,,,,
745236203 / 2562470318,48.7716886,2.3461773,0,,,,,,,,,,,,
797052160,48.7661621,2.3278453,1,48.766145,2.3279186,,,,,,,,,,
798407909,48.765268,2.3298337,3,48.7652323,2.3297794,48.7652351,2.3299671,48.7652849,2.3297265,,,,,,
798421863,48.767422,2.3305634,0,,,,,,,,,,,,
798427118,48.7653273,2.3293137,0,,,,,,,,,,,,
798517235,48.7660958,2.3324368,0,,,,,,,,,,,,
798517239 / 2393053875,48.7647684,2.3318291,0,,,,,,,,,,,,
